ISBN,name,keyword,category
P1408070017,垂坤原味鱈魚條,垂坤/垂坤\團購美食\零食\餅乾\點心\鱈魚條,休閒食品
P1604060024,Furuta - 蛋黃哥卡士達巧克力,Furuta/吉田\零食\造型零食\巧克力,休閒食品
P1502250020,航空米果(經濟艙),MIDO/翠果子\米果\零食,休閒食品
P1502240012,順昌-韓國辣炒年糕辣椒醬,順昌/調味料\調味醬\調料\辣椒醬\韓國醬料,休閒食品
P1811140018,GEN GEN 印尼鑽石純薑糖-檸檬35.44g,/薑糖\糖果\沖泡\零食,休閒食品
P1905220001,UHA味覺糖-特濃咖啡條糖37.5g,/UHA\味覺糖\糖果\牛奶糖\咖啡,休閒食品
P1912270012,Asahi Welch's綜合葡萄糖68g,/Asahi Welch's\葡萄\糖果\日本食品,休閒食品
P1809050002,AGF Blendy濃縮咖啡球8入(焦糖風味)144g,/咖啡\咖啡球\即溶咖啡\日本AGF咖啡,休閒食品
P1810240002,Daico 海苔天芥末海苔餅140g,/餅乾\零食\海苔,休閒食品
P1901300010,三菱-壽喜燒原汁600ml,/醬汁\壽喜燒\醬油\調味料,休閒食品
P1902270003,(限大台北地區下單)COSTCO迷你乳酪塔12入,/COSTCO\好市多\點心\乳酪塔,休閒食品
P1405190004,養生聖品芝麻糊,芝麻/養生食品\芝麻糊,休閒食品
P1409170001,UCC咖啡(微糖)五入一組,UCC/咖啡\罐裝咖啡,休閒食品
P1504300002,長谷川-萬爽健茶,長谷川/飲品\茶類\爽健茶,休閒食品
P1712210011,不二家－香甜香草家庭派１２２ｇ,餅乾/熱門零食\香草餅乾\年末回饋現折30元,休閒食品
P1710050008,雀巢－美式濃黑咖啡膠囊,咖啡機/居家生活\沖泡飲品\雀巢\拿鐵\秘密特惠,休閒食品
P1410170029,小梅夾心糖,Ｌｏｔｔｅ/樂天\糖果\梅子\夾心糖,休閒食品
P1509300023,Juicee Gummie-水果熊QQ樂園(2入),Juicee Gummie/零食\糖果\軟糖\水果軟糖,休閒食品
P1411160005,德倫食品-皇家鱈魚沙茶片,德倫食品/鱈魚片,休閒食品
P1409120010,星球工坊焦糖咖滋星球爆米花桶,星球工坊/爆米花\焦糖,休閒食品
P1505270006,Merba-摩巴軟餅(黑巧克力榛果),荷蘭/零食\餅乾\巧克力餅乾,休閒食品
P1911150001,弘宇蛋糕芋泥奶酪,/弘宇蛋糕\芋泥\蛋糕\花蓮名產\布丁,休閒食品
P1801310085,日本ＫＡＮＲＯ－新味覺荔枝玫瑰風味軟糖５８ｇ,糖果/日本零食\荔枝軟糖\水果糖,休閒食品
